dim, run, mean, time
1, 1, 5.312895, 81.626182
5, 1, 5.306973, 89.501770
10, 1, 5.305434, 98.101589
50, 1, 5.311218, 172.272791
100, 1, 5.301505, 170.358448
500, 1, 5.294680, 737.295592
1000, 1, 5.296916, 2110.322310
