dim, run, mean, time
1,1,7.887126,636.819739
5,1,7.886189,644.122503
10,1,7.893819,640.338017
50,1,7.895815,639.196407
100,1,7.890726,641.112616
500,1,7.892705,768.436604
1000,1,7.894642,1080.316868
